price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built
685000,3,1,1570,2280,2,0,0,3,1570,0,1922
309000,3,1,1280,9656,1,0,0,4,920,360,1959
488000,3,2,3160,13603,2,0,0,3,3160,0,2003
210490,3,1,990,8528,1,0,0,3,990,0,1966
785000,4,2,2290,13416,2,0,0,4,2290,0,1981
450000,3,1,1250,5963,1,0,0,4,1250,0,1953
1350000,3,2,2753,65005,1,1,2,5,2165,588,1953
228000,3,1,1190,9199,1,0,0,3,1190,0,1955
345000,5,2,3150,9134,1,0,0,4,1640,1510,1966
600000,3,1,1410,4080,1,0,0,4,1000,410,1950
585000,2,1,1980,8550,1,0,0,3,990,990,1981
920000,5,2,2730,6000,1,0,0,3,2130,600,1927
885000,4,2,2830,5000,2,0,0,3,2830,0,1995
292500,4,2,2250,4495,2,0,0,3,2250,0,2008
301000,3,2,2420,4750,2,0,0,3,2420,0,2003
951000,5,3,3250,14342,2,0,4,4,3250,0,1968
430000,4,3,1850,9976,2,0,0,3,1850,0,1991
650000,3,2,2150,21235,1,0,3,4,1590,560,1959
289000,3,1,1260,8400,1,0,0,3,1260,0,1954
505000,3,1,2519,8690,2,0,0,5,2519,0,1973
549000,3,1,1540,1044,3,0,0,3,1540,0,2014
425000,3,2,1660,6000,1,0,0,3,1110,550,1979
317625,3,2,2770,3809,1,0,0,5,1770,1000,1925
975000,4,2,2720,11049,2,0,0,3,2720,0,1989
287000,4,2,2240,4648,2,0,0,3,2240,0,2005
204000,3,1,1000,12070,1,0,0,4,1000,0,1968
1330000,5,2,3200,20158,1,0,0,3,1600,1600,1965
1040000,5,3,4770,50094,1,0,0,4,3070,1700,1973
325000,3,2,1260,5612,1,0,0,4,1260,0,1972
571000,4,2,2750,7807,1,0,0,5,2250,500,1916
360000,4,2,2380,5000,2,0,0,3,2380,0,2005
349000,3,1,1790,50529,1,0,0,5,1090,700,1965
832500,4,4,3430,35102,2,0,0,4,2390,1040,1986
380000,4,1,1760,7300,1,0,0,3,880,880,1956
480000,3,1,1040,5060,1,0,0,3,1040,0,1941
410000,3,1,1410,5060,1,0,0,4,910,500,1956
720000,4,2,3450,39683,2,0,0,3,3450,0,2002
390000,3,2,2350,5100,2,0,0,3,2350,0,2003
360000,4,2,1900,5889,2,0,0,3,1900,0,1992
355000,2,1,2020,6720,1,0,0,3,1010,1010,1948
356000,3,1,1680,8712,1,0,0,3,1680,0,1964
315000,3,1,960,6634,1,0,0,3,960,0,1952
940000,3,1,2140,3600,2,0,0,3,1900,240,1925
305000,5,2,2660,8400,1,0,0,5,2660,0,1961
461000,3,3,2770,6278,2,0,0,3,1980,790,2006
215000,2,2,1610,2040,2,0,0,4,1610,0,1979
335000,2,1,1030,1066,2,0,0,3,765,265,2006
243500,4,2,1980,7403,2,0,0,3,1980,0,1988
1100000,5,2,3520,6353,2,0,0,4,3520,0,2001
153000,3,1,1200,10500,1,0,0,3,1200,0,1962
430000,3,1,1580,5000,1,0,0,3,1290,290,1939
700000,3,1,1580,5000,1,0,0,3,1290,290,1939
905000,4,2,3300,10250,1,0,0,3,2390,910,1946
247500,3,1,1960,15681,1,0,0,3,1960,0,1967
199000,4,1,1160,6400,1,0,0,4,1160,0,1975
314000,3,1,1810,41800,1,0,0,5,1210,600,1980
437500,3,2,2320,36847,2,0,2,3,2320,0,1992
850830,3,2,2070,13241,1,0,0,5,1270,800,1910
555000,3,2,1980,3478,1,0,0,4,1440,540,1929
699950,3,2,2190,107593,2,0,0,4,2190,0,1983
1090000,3,2,2920,8113,2,0,0,3,2920,0,1950
290000,3,1,1210,33919,1,0,0,3,1210,0,1954
375000,3,2,2340,10005,1,0,0,4,1460,880,1978
460000,3,1,1670,4005,1,0,0,4,1170,500,1939
188500,2,1,1240,2493,1,0,0,4,1240,0,1985
680000,4,2,3140,28037,2,0,0,4,3140,0,1991
470000,5,1,2030,12342,2,0,0,4,2030,0,1942
597750,4,2,2310,9624,2,0,0,3,2310,0,1984
570000,3,1,1260,3328,1,0,0,5,700,560,1905
272500,3,1,1540,12600,1,0,0,4,1160,380,1980
329950,3,1,2080,5969,1,0,2,3,1080,1000,1971
480000,4,2,3230,16171,2,0,3,3,2520,710,2001
740500,3,3,4380,6350,2,0,0,3,2780,1600,1900
518500,3,3,1590,1102,3,0,0,3,1590,0,2010
205425,2,1,880,6780,1,0,0,4,880,0,1945
171800,4,2,1570,9600,1,0,0,3,1570,0,1950
535000,4,1,1610,2982,1,0,0,4,1610,0,1925
660000,3,2,2400,6474,1,0,2,3,1560,840,1964
391500,3,2,1450,9132,1,0,0,3,1450,0,1987
395000,2,1,770,6000,1,0,0,3,770,0,1953
445000,4,1,2100,4400,1,0,0,5,1720,380,1924
770000,3,2,2910,10204,2,0,0,3,2910,0,1990
1450000,4,2,2750,17789,1,0,0,3,1980,770,1914
445000,3,2,2100,8201,1,0,2,3,1620,480,1967
260000,4,2,2160,8811,1,0,0,3,1360,800,1978
822500,5,3,2320,4960,2,0,0,5,1720,600,1926
430000,4,2,2070,4310,2,0,0,3,2070,0,2004
212000,3,1,1060,7875,1,0,0,4,1060,0,1986
660500,4,2,2010,9603,1,0,0,3,1440,570,1986
784000,3,3,3950,111078,1,0,0,3,2460,1490,1989
453246,3,2,2010,2287,2,0,0,3,1390,620,2014
675000,4,3,2140,2278,3,0,0,3,2140,0,2005
199000,3,1,1320,17390,1,0,0,4,1320,0,1956
220000,4,1,2020,7840,1,0,0,3,1010,1010,1968
452000,4,2,2590,10002,1,0,0,4,1340,1250,1968
382500,2,1,1190,4440,1,0,0,3,1190,0,1981
519950,3,2,1170,1249,3,0,0,3,1170,0,2014
665000,2,1,1110,3200,1,0,0,3,1110,0,1925
527700,5,2,2820,9375,1,0,0,4,1550,1270,1968
205000,3,1,1610,8579,1,0,0,4,1010,600,1962
420000,3,1,1060,8097,1,0,0,4,940,120,1923
500000,4,2,2030,8517,1,0,0,4,1380,650,1961
921500,4,2,3670,315374,2,0,0,4,3670,0,1994
890000,4,1,2550,4000,2,0,0,3,2370,180,1905
430000,2,2,2420,60984,2,0,0,3,2420,0,2007
258000,5,2,2260,12500,1,0,0,4,1130,1130,1960
511000,3,1,1430,3455,1,0,0,3,980,450,1947
532170,3,2,1360,3090,2,0,0,3,1360,0,1990
560000,3,1,1110,5000,1,0,0,3,1110,0,1947
282950,3,1,1250,8200,1,0,0,4,1250,0,1954
2250000,4,3,5180,19850,2,0,3,3,3540,1640,2006
350000,1,1,700,5100,1,0,0,3,700,0,1942
215000,3,1,1180,7669,1,0,0,4,1180,0,1967
650000,5,3,3960,25245,2,0,0,3,2500,1460,1996
320000,4,2,2640,7500,1,0,0,3,1620,1020,1967
247000,3,2,1270,7198,1,0,0,3,1270,0,1916
320000,4,1,1760,11180,1,0,0,4,1760,0,1968
255000,5,2,2060,8632,1,0,0,3,1030,1030,1962
438000,3,1,1780,9660,1,0,0,3,1780,0,1962
900000,3,2,3400,16603,2,0,0,3,3400,0,2000
441000,3,2,1910,7280,1,0,0,3,1160,750,1979
420000,3,2,2020,38332,1,0,0,4,1010,1010,1975
370000,3,1,1580,7000,1,0,0,3,1180,400,1976
269950,2,1,1340,7250,1,0,0,5,700,640,1949
807100,4,2,2680,4499,2,0,0,3,2680,0,1999
653000,3,2,2680,9750,1,0,0,4,1610,1070,1979
371500,3,2,1370,8336,1,0,0,5,1370,0,1964
284000,3,1,1560,21000,1,0,0,3,1560,0,1954
272000,3,1,2160,7140,1,0,0,4,1670,490,1978
313000,3,1,1340,7912,1,0,0,3,1340,0,1955
917500,4,2,3880,35003,2,0,0,3,2570,1310,1984
673000,4,2,2590,8190,2,0,0,4,2590,0,1980
425000,3,2,1120,1100,2,0,0,3,820,300,2008
399950,5,2,1970,5400,1,0,0,3,1320,650,1986
385000,3,1,1220,4800,1,0,0,3,1220,0,1901
269950,3,1,1950,7560,1,0,2,4,1320,630,1975
330000,2,1,1350,8220,1,0,0,3,1060,290,1949
260000,3,2,1670,5797,2,0,0,3,1670,0,1988
470000,4,3,2380,5125,1,0,0,4,1680,700,1925
589000,4,3,2440,9600,2,0,0,5,2440,0,1961
163500,2,1,1050,3419,2,0,0,3,1050,0,1996
835000,4,2,3130,13412,2,0,0,3,2140,990,1993
1100000,5,3,4090,12850,1,0,2,4,2090,2000,1986
269000,4,1,1490,10000,1,0,0,4,1100,390,1969
560000,3,2,1900,8744,2,0,0,3,1900,0,1987
615000,4,1,1330,2400,1,0,0,4,1330,0,1901
585188,3,2,2230,10026,1,0,0,3,1430,800,1975
305000,3,1,1650,9480,1,0,0,3,1220,430,1977
166950,3,1,1190,8820,1,0,0,3,1190,0,1959
799000,3,2,2140,9897,1,0,0,4,2140,0,1959
400000,3,2,2180,7508,1,0,0,4,1420,760,1962
230000,3,1,1060,10228,1,0,0,3,1060,0,1948
256883,3,2,1690,5025,2,0,0,3,1690,0,2003
423000,4,2,1970,6480,1,0,0,5,1130,840,1920
465000,3,2,2150,4084,2,0,0,3,2150,0,2007
440000,3,2,1910,66211,2,0,0,3,1910,0,1997
385000,3,1,1350,155073,1,0,0,4,1350,0,1969
210000,3,1,860,11725,1,0,0,4,860,0,1943
297000,3,2,1940,14952,2,0,0,3,1940,0,1994
470000,3,1,1010,5000,1,0,0,3,1010,0,1952
226500,3,1,1300,7370,1,0,0,4,900,400,1976
274250,3,1,910,8450,1,0,0,4,910,0,1962
840000,4,1,2480,11010,1,0,0,4,1630,850,1966
677900,3,2,2440,4587,2,0,0,3,2440,0,2010
425000,3,1,1010,5864,1,0,0,3,1010,0,1915
464000,6,3,2300,3404,2,0,0,3,1600,700,1920
320000,4,2,1550,7579,2,0,0,3,1550,0,1993
625504,3,2,1270,1566,2,0,0,3,1060,210,2014
592500,4,2,2240,12032,1,0,0,3,2240,0,1983
465000,3,2,2714,17936,2,0,0,3,2714,0,2005
477000,4,2,1720,6270,2,0,0,3,1720,0,1978
280000,2,1,850,16400,1,0,0,3,850,0,1923
1510000,5,3,3300,33474,1,0,3,3,1870,1430,1957
445838,3,2,2250,5692,2,0,0,3,2250,0,2000
1070000,2,2,3900,14864,1,0,3,3,1950,1950,1947
467000,2,1,1320,10800,1,0,0,4,1320,0,1947
686000,4,2,2760,6440,2,0,0,3,2760,0,1999
279950,3,2,1750,9750,1,0,0,3,1350,400,1961
527000,4,2,2330,19436,2,0,0,3,2330,0,1987
325000,3,2,2220,16020,1,0,0,4,1780,440,1966
328000,3,2,2020,8379,2,0,0,3,2020,0,1994
390000,3,2,1250,7500,1,0,0,5,1250,0,1942
479950,2,2,1510,6516,1,0,0,3,1510,0,2005
264950,4,2,1720,9753,1,0,0,4,1120,600,1978
235000,3,1,1430,15246,1,0,0,4,980,450,1961
516500,3,2,1480,4729,2,0,0,3,1480,0,2004
655000,2,1,1450,15798,2,1,4,3,1230,220,1915
500000,4,2,2280,15347,1,0,0,5,2280,0,1960
315000,6,2,2940,7350,1,0,0,3,1780,1160,1978
213000,2,1,1000,10200,1,0,0,3,1000,0,1961
475000,3,1,2480,5280,1,0,0,5,1620,860,1947
1030000,5,4,3760,28040,2,0,0,3,3760,0,1983
416000,3,2,2220,94300,1,0,0,5,1640,580,1976
410000,4,1,1970,4740,1,0,0,3,1670,300,1904
800000,3,3,3830,221284,2,0,0,3,3530,300,1993
472000,6,2,4410,14034,1,0,2,4,2350,2060,1965
225000,3,1,1430,8505,1,0,0,4,1430,0,1968
210000,2,1,830,6000,1,0,0,3,830,0,1940
455000,2,1,1430,5000,1,0,0,2,1430,0,1925
225000,3,1,1300,8316,1,0,0,4,1300,0,1954
480000,2,1,1030,3060,1,0,2,4,790,240,1918
363000,3,2,2740,11872,2,0,0,3,2740,0,1990
2400000,4,2,3650,8354,1,1,4,3,1830,1820,2000
181000,2,1,720,5120,1,0,0,3,720,0,1954
250000,4,2,2010,7312,1,0,0,4,2010,0,1976
481000,3,1,1560,3000,1,0,0,4,770,790,1918
260000,3,2,1810,7209,1,0,0,4,1240,570,1978
455000,4,2,3360,7685,2,0,0,3,3360,0,2001
415000,3,2,1510,36224,2,0,0,3,1510,0,1991
349500,3,1,1400,3538,1,0,0,3,800,600,1953
245000,3,2,1730,7442,2,0,0,3,1730,0,1987
592500,2,2,1420,9191,1,0,2,5,1420,0,1928
385000,4,1,2360,7620,1,0,0,4,1180,1180,1955
315000,3,1,1580,11455,1,0,0,4,1200,380,1974
255000,3,1,1230,10170,1,0,0,3,1230,0,1979
693000,4,2,2460,4425,2,0,0,3,2460,0,2006
780000,3,1,1660,4400,1,0,0,3,1460,200,1911
237000,3,1,1270,8470,1,0,0,4,1270,0,1960
525000,3,2,2100,40510,2,0,0,3,1320,780,1979
425000,2,1,770,5040,1,0,0,3,770,0,1930
290000,4,2,1700,7280,2,0,0,4,1700,0,1988
285000,3,1,1120,10701,1,0,0,3,1120,0,1954
415000,2,1,1070,4500,1,0,0,3,1070,0,1937
272500,3,2,2070,9900,1,0,0,3,1420,650,1979
2900000,4,3,5050,20100,1,0,2,3,4750,300,1982
1370000,4,4,5310,57346,2,0,0,4,5310,0,1989
436000,2,1,1040,7538,1,0,0,4,1040,0,1939
210000,3,1,1700,11390,1,0,0,4,1700,0,1967
236000,3,1,1300,5898,1,0,0,3,1300,0,1961
331000,3,1,1080,1306,1,0,0,3,580,500,1954
365000,3,2,2653,4510,2,0,0,3,2653,0,2006
450000,3,2,2290,16258,1,0,0,5,2290,0,1960
770000,4,2,3820,26300,2,0,0,3,2850,970,2014
455000,4,2,2210,49375,1,0,0,3,2210,0,1997
405000,3,1,2390,6000,1,0,0,3,1240,1150,1908
304900,4,1,2600,11325,1,0,0,4,1610,990,1969
170000,2,1,860,5265,1,0,0,3,860,0,1931
2050000,5,3,3830,8480,2,0,1,5,2630,1200,1905
780000,4,2,3500,7048,2,0,0,3,3500,0,2005
330000,3,3,2420,13959,1,0,0,4,1740,680,1988
370000,4,2,2720,8666,2,0,0,3,2720,0,1992
467000,5,2,2500,13500,1,0,0,3,1850,650,1979
405000,3,1,1670,6720,1,0,0,3,1140,530,1980
675000,5,2,2900,10300,1,0,0,3,1450,1450,1985
500000,2,1,1640,14100,1,0,0,4,1140,500,1954
389999,4,2,1890,15770,2,0,0,4,1890,0,1968
630000,4,1,2950,9025,1,0,2,4,1780,1170,1975
360000,4,2,2160,9528,2,0,0,3,2160,0,1992
580000,4,3,3280,11060,2,0,0,3,2270,1010,1986
550000,3,2,1970,4166,2,0,3,5,1270,700,1929
879000,4,2,3360,22111,2,0,0,3,3360,0,1994
265000,3,2,1320,8959,1,0,0,3,1320,0,1993
446500,3,2,2650,7286,2,0,0,3,2650,0,1990
404000,3,1,2030,8880,1,0,0,3,1330,700,1963
267500,3,1,1590,11914,1,0,2,3,1090,500,1957
3080000,4,5,4550,18641,1,1,4,3,2600,1950,2002
335000,3,2,2440,7632,2,0,0,3,2440,0,1998
576000,3,2,1940,9000,1,0,0,4,970,970,1948
208633,3,2,2040,3810,2,0,0,3,2040,0,2006
315000,3,2,2200,8750,1,0,0,4,1120,1080,1964
725000,3,1,1920,3300,1,0,0,4,960,960,1913
550000,4,2,1800,7750,1,0,0,4,1400,400,1965
610750,4,2,2180,7297,2,0,0,3,2180,0,1984
550700,2,1,1010,5000,1,0,0,4,1010,0,1908
665000,4,2,3320,10574,2,0,0,5,2220,1100,1960
834000,4,2,2370,4000,1,0,2,5,1980,390,1928
201000,5,1,1660,78408,1,0,0,3,1660,0,1915
2380000,5,2,3650,9050,2,0,4,5,3370,280,1921
1380000,4,3,4290,12103,1,0,3,3,2690,1600,1997
1400000,4,3,4290,12103,1,0,3,3,2690,1600,1997
305000,4,2,1950,7700,1,0,0,3,1350,600,1979
487000,3,2,2590,14052,1,0,0,5,1720,870,1948
390000,3,2,1930,64904,1,0,0,4,1930,0,1988
548000,2,1,1470,3864,1,0,0,4,1170,300,1916
268750,4,1,800,8775,1,0,0,3,800,0,1943
819900,5,2,3150,7119,2,0,0,3,3150,0,2013
520000,3,2,2030,16200,2,0,0,3,2030,0,1984
230000,3,2,1450,11204,1,0,0,3,1450,0,2003
240000,3,1,1510,10248,1,0,0,3,1510,0,1969
232000,2,1,1240,12092,1,0,0,3,960,280,1922
240500,2,1,1240,12092,1,0,0,3,960,280,1922
274975,3,2,3030,45004,2,0,0,3,3030,0,1987
740000,4,2,2050,4400,1,0,0,4,2050,0,1922
186375,3,1,1000,7636,1,0,0,2,1000,0,1952
790000,3,2,2370,10289,1,0,0,4,1590,780,1977
880000,4,3,2800,6750,2,0,0,3,1890,910,1951
279000,6,1,2240,11180,2,0,0,4,2240,0,1955
295000,3,2,1810,10530,1,0,2,3,1810,0,1991
640000,2,1,1070,5000,1,0,0,3,1070,0,1924
940000,4,2,2490,9525,2,0,0,5,2490,0,1968
260000,4,2,1960,5238,2,0,0,3,1960,0,2003
559900,3,2,2930,5569,1,0,0,3,1860,1070,2004
791500,4,2,1510,3500,1,0,0,5,1510,0,1911
265000,3,1,1420,8250,1,0,0,3,1420,0,1954
245000,3,1,1740,11547,1,0,0,3,1740,0,1954
485000,4,1,2560,43995,2,0,0,4,2560,0,1962
684000,4,3,3040,8414,2,0,0,3,2420,620,2010
425000,3,1,2500,6840,1,0,0,3,1300,1200,1957
309600,4,1,1275,20000,1,0,0,4,1275,0,1991
552250,4,2,2580,5823,2,0,0,3,2580,0,2002
165000,4,1,1000,7134,1,0,0,3,1000,0,1943
239900,4,1,1000,7134,1,0,0,3,1000,0,1943
320000,2,1,1070,32633,1,0,0,4,1070,0,1930
206600,3,2,1390,13464,1,0,0,4,1390,0,1987
387000,4,1,2500,7690,1,0,0,3,1250,1250,1973
855000,4,2,2270,10460,2,0,0,3,2270,0,1965
315000,3,1,1900,14400,1,0,0,4,1300,600,1954
437500,2,1,990,3120,1,0,2,5,790,200,1907
252000,4,1,1550,19800,1,0,0,4,1050,500,1969
375000,4,1,2200,7475,1,0,0,5,1100,1100,1955
300000,4,2,1910,4862,2,0,0,3,1910,0,2005
420000,4,1,1750,9600,1,0,0,4,1750,0,1954
900000,3,1,1330,77972,1,0,0,3,1330,0,1928
679900,3,2,2440,5750,2,0,2,3,1980,460,2000
463000,3,2,1640,29970,2,0,0,3,1640,0,1992
380000,5,2,2760,11340,2,0,0,4,2760,0,1978
329500,4,2,1820,7912,2,0,0,3,1820,0,1994
604950,3,2,2110,5608,1,0,0,3,1340,770,2013
795000,5,2,3040,9570,1,0,2,4,1640,1400,1966
465000,3,2,1840,40438,2,0,0,3,1840,0,1994
673000,4,2,2990,10400,2,0,0,3,2990,0,2002
810000,4,2,3520,15420,2,0,0,3,3520,0,1991
785000,4,2,2440,69415,1,0,0,4,1910,530,1989
338000,4,3,2090,7500,1,0,0,3,1370,720,1986
280000,3,2,1430,7222,2,0,0,3,1430,0,1993
315000,4,2,2180,10754,1,0,0,5,1100,1080,1954
530000,4,2,2180,10754,1,0,0,5,1100,1080,1954
380000,5,3,3450,9914,2,0,0,3,3450,0,2004
297000,3,2,1450,7562,2,0,0,3,1450,0,1994
730000,4,2,3230,7331,2,0,0,3,3230,0,2004
450000,3,1,1640,13500,1,0,0,3,1110,530,1940
275000,3,3,1590,7750,1,0,0,3,1060,530,1997
595000,4,2,2020,2849,2,0,0,3,2020,0,1960
435000,3,1,1300,3348,1,0,0,3,1300,0,1904
270000,2,1,1380,209959,1,0,0,1,1380,0,1954
950000,3,3,4040,14338,2,0,0,3,3030,1010,1986
389000,4,2,2130,5337,2,0,0,3,2130,0,2001
560000,4,2,2550,7800,1,0,0,3,1580,970,1968
1350000,5,3,4800,14984,2,0,2,3,3480,1320,1998
799000,4,2,2510,11585,2,0,0,4,2510,0,1969
365500,3,2,1410,9600,1,0,0,4,1410,0,1983
252350,3,2,1650,7352,1,0,0,3,1160,490,1979
403950,4,2,2120,13780,2,0,0,3,2120,0,1993
385000,4,1,2040,10726,1,0,0,3,1380,660,1954
345000,4,1,1550,7620,1,0,0,3,1550,0,1957
490000,3,2,1980,3128,2,0,0,4,1980,0,1979
330000,3,2,1600,26977,2,0,0,3,1600,0,2005
927000,4,2,3300,12090,2,0,0,3,3300,0,1953
1120000,4,2,3840,16619,2,0,1,4,3840,0,1983
330000,2,1,1220,10000,1,0,0,5,1220,0,1950
530000,5,2,2720,8800,1,0,0,4,1500,1220,1958
365000,4,2,1940,25600,1,0,0,1,1940,0,1962
378750,3,2,2160,3000,1,0,0,3,1260,900,1909
269900,4,1,1530,8750,1,0,0,4,1530,0,1968
557000,3,3,1710,2096,2,0,0,3,1290,420,2008
360000,4,1,3730,16980,1,0,0,4,2150,1580,1974
352000,2,1,940,5000,1,0,0,4,940,0,1937
437000,3,2,1750,22357,2,0,0,3,1750,0,1994
322500,4,2,1820,6753,2,0,0,3,1820,0,1994
650000,3,3,1510,2000,2,0,0,3,1330,180,2001
450000,3,2,1290,1213,3,0,0,3,1290,0,2001
278500,3,2,1570,5250,1,0,0,3,1570,0,1998
364950,4,2,1930,6957,2,0,0,3,1930,0,1995
840000,4,3,2840,40139,1,0,4,4,2840,0,1986
268000,3,2,1550,8134,2,0,0,3,1550,0,1991
517534,2,1,833,143947,1,0,0,3,833,0,2006
632925,3,2,2990,32239,2,0,0,4,2990,0,1978
577500,3,2,2000,7251,2,0,0,3,2000,0,1995
339000,4,1,2390,7480,1,0,2,3,2390,0,1920
570000,3,1,2910,37461,1,0,0,4,1530,1380,1967
563500,4,1,2085,174240,1,0,0,3,1610,475,1964
423000,4,2,2200,9351,1,0,0,5,1290,910,1962
355000,3,2,1860,5028,2,0,0,3,1860,0,2012
1550000,5,4,6070,171626,2,0,0,3,6070,0,1999
482000,2,1,950,3960,1,0,0,3,950,0,1941
625000,3,1,1600,9135,1,0,0,5,1600,0,1955
538000,3,2,2250,11632,2,0,0,3,2250,0,1988
380000,3,2,2280,10255,2,0,0,4,2280,0,1985
375000,2,1,940,5120,1,0,0,3,940,0,1909
245000,3,2,1530,8500,1,0,0,5,1030,500,1996
310000,5,1,2190,27260,1,0,0,4,2190,0,1947
1300000,3,2,2350,15021,1,0,0,4,1770,580,1976
397000,4,2,1440,7680,1,0,0,3,1200,240,1971
365000,3,2,2200,4052,2,0,0,3,2200,0,2005
328500,4,3,2290,8250,2,0,0,3,2290,0,1990
988000,4,3,4040,19700,2,0,0,3,4040,0,1987
1000000,4,2,2610,3277,1,0,0,5,1920,690,1922
237000,3,2,1490,2138,2,0,0,3,1490,0,2005
525000,4,2,2450,5280,2,0,0,3,2450,0,2003
749000,4,2,1710,9627,1,0,0,3,1440,270,1976
722500,5,2,4870,11800,2,0,0,3,3470,1400,1983
843000,3,2,3130,8750,2,0,0,3,3130,0,1991
438000,2,2,1270,1372,3,0,0,3,1270,0,2000
578000,3,1,2120,10875,1,0,2,3,1540,580,1977
227950,3,1,1670,8230,1,0,0,5,1670,0,1954
196000,3,2,2070,11576,2,0,0,3,2070,0,1974
641000,2,1,1420,5332,1,0,0,3,1070,350,1953
350000,3,1,1250,219978,1,0,0,4,1250,0,1980
205000,3,1,940,7980,1,0,0,4,940,0,1960
400000,3,1,1920,9102,1,0,0,3,1920,0,1968
1030000,3,2,3545,9816,1,0,0,3,2610,935,2005
505000,3,2,1260,5460,1,0,0,3,1260,0,1972
475000,5,2,2340,7200,1,0,0,3,1300,1040,1975
520000,3,2,2590,9263,1,0,0,5,1440,1150,1977
1450000,3,4,3970,24920,2,0,2,3,3260,710,1977
333500,3,1,1220,9732,1,0,0,3,1220,0,1965
232000,3,1,1400,10403,1,0,0,4,1400,0,1976
691100,3,2,2360,16117,1,0,0,4,1710,650,1983
811000,3,1,1870,9897,1,0,0,4,1870,0,1960
551000,3,2,2830,5802,2,0,0,3,2830,0,2001
496500,3,2,2260,3640,2,0,0,3,2260,0,1994
705000,3,3,1970,20978,2,1,3,4,1770,200,1980
578000,4,2,3140,9225,1,0,2,5,1770,1370,1966
255000,3,1,1240,8659,1,0,0,5,1240,0,1986
1050000,4,3,3450,7832,2,0,0,3,3450,0,2007
348000,3,2,2570,8491,2,0,0,4,2570,0,1989
230000,3,2,1510,3413,2,0,0,3,1510,0,1985
359500,4,2,2390,11250,2,0,0,3,2390,0,1988
330000,3,1,980,7000,1,0,0,3,980,0,1953
465000,3,1,1480,6360,1,0,0,3,1480,0,1954
325000,4,2,1850,7324,2,0,0,3,1850,0,1997
340500,3,2,2270,28025,1,0,0,4,1920,350,1947
342500,3,2,1810,5192,2,0,0,3,1810,0,1993
290900,2,2,1610,17600,2,0,0,3,1610,0,1930
868700,3,4,3840,6161,2,0,0,3,3840,0,2000
1200000,4,2,4110,8400,2,0,1,3,3130,980,1928
1150000,4,3,4190,10259,2,0,0,3,3150,1040,2000
859900,4,2,3390,6298,2,0,0,3,3390,0,2011
520000,4,2,1890,3006,2,0,0,3,1890,0,2003
460000,3,2,1610,2527,2,0,2,3,1080,530,2005
438924,3,1,1050,4590,1,0,0,3,850,200,1949
315000,2,1,630,6550,1,0,0,3,630,0,1918
590000,4,2,2910,10650,1,0,2,3,1780,1130,1975
378500,4,1,1700,8640,1,0,0,3,850,850,1955
328500,3,2,1950,8130,2,0,0,4,1950,0,1990
